Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.730000,-105.720000,270.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.165000,-102.900000,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.120000,-91.610000,0.000000,top
"J1","Micro_SD_Card","microSD_HC_Hirose_DM3AT-SF-PEJM5",158.880000,-99.720000,90.000000,top
"R1","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.720000,-112.520000,270.000000,top
"R2","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.262000,-112.502000,270.000000,top
"R3","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.804000,-112.496000,270.000000,top
"R4","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.346000,-112.490000,270.000000,top
"R5","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.888000,-112.508000,270.000000,top
"R6","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",163.430000,-112.514000,270.000000,top
"R7","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.290000,-80.410000,180.000000,top
"R8","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.750000,-80.390000,180.000000,top
"R9","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.925000,-80.390000,180.000000,top
"R10","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.100000,-80.390000,180.000000,top
"R11","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.680000,-84.560000,0.000000,top
"R12","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.270000,-84.520000,180.000000,top
"SW1","RESET","SW_SPST_TL3342",122.330000,-118.790000,270.000000,top
"U1","LM75B","SOIC-8_3.9x4.9mm_P1.27mm",122.000000,-107.740000,90.000000,top
"U2","24LC256","SOIC-8_3.9x4.9mm_P1.27mm",122.010000,-96.760000,90.000000,top
